gene,role,normal_mean,tumor_mean,change_pct,p_value
NKX3-1,AR,9.724305968894082,10.04701129276165,3.3185435022286605,0.010298331004575284
FOXA1,AR,11.750829322745263,12.501779465662539,6.390613992356385,2.2053258067310246e-10
KLK3,AR,8.882391094870997,9.51264745180983,7.095570890846783,0.0023761188592404175
ACPP,SWITCH,13.201446779717097,12.517144541206607,-5.183539728099064,1.492957617344856e-07
KLK2,AR,11.297944378531064,11.307313838632618,0.08293066231905802,0.4523374634928647
MSMB,SWITCH,13.423592686426979,12.293931904098722,-8.415487632237923,4.974111415572347e-08
ERG,ERG,6.165092648900294,6.378133620788201,3.4556004916796965,1.2320394766732918e-07
MKI67,PROG,6.030226250202241,6.095261202613073,1.0784827917302549,0.008473175730227944
EZH2,EPIGEN,6.160216225742813,6.391978873117966,3.762248578331466,1.5291145494350285e-06
HOXC6,FA,7.214352078501209,9.716316466268127,34.68037545911822,2.2770905645583077e-15
AMACR,FA,7.02167691157237,9.553759032181208,36.060931775937085,5.393071169005084e-13
EED,EPIGEN,6.230135350902211,6.154565740594845,-1.212968997478083,0.002219662637365824
SUZ12,EPIGEN,10.393945025216118,10.341972716532773,-0.5000248563683753,0.31724840016564104
KDM6A,EPIGEN,6.987493636231602,6.992033340394235,0.06496899172964093,0.19188922754506926
DNMT3A,EPIGEN,6.436877332465272,6.285791272084717,-2.3471949608008194,2.9636158095877023e-06
BMI1,EPIGEN,9.066872987410651,8.733884089801649,-3.672588091521271,5.3147965275105836e-05
JARID2,EPIGEN,7.829620812834806,7.922993310447032,1.1925545290668942,0.014725270405143662
AR,AR,7.961391081294171,7.92677668479657,-0.4347782459642036,0.4124027352923813
TMPRSS2,AR,12.16902644985132,12.394297566263393,1.8511843765022498,0.06602023560079388
FKBP5,AR,9.49200181138564,9.53291620638964,0.4310407416370625,0.16179791708191416
STEAP2,AR,10.846007832354328,11.281153994912069,4.012039907067673,0.0009700602359282689
MYC,SCAFFOLD,8.57815243394733,9.054323051042779,5.550969404682555,0.00022163262892458617
