prediction,status,note
CS-10,FAILED,"LumA: PARTIAL — correct direction, underpowered (Q4/Q1 median 1.8/2.0yr logrank p=0.852 HR=0.45) | LumB: FAILED (Q4/Q1 median 2.0/1.5yr logrank p=0.933 HR=0.97) | HER2: PARTIAL — correct direction, underpowered (Q4/Q1 median 1.3/2.5yr logrank p=0.058 HR=0.06) | Basal: FAILED (Q4/Q1 median 2.1/1.4yr logrank p=0.228 HR=0.13) | ILC: PARTIAL — correct direction, underpowered (Q4/Q1 median 1.3/1.8yr logrank p=0.132 HR=37123049.58)"
CS-13-SURVIVAL,PARTIAL,AR-low OS 1.6yr vs AR-high 1.4yr logrank p=0.651 HR(AR)=0.961 (underpowered)
CS-LUMB-DECOUPLE,PARTIAL,"TFF1/ESR1: LumA=0.795 > LumB=0.750, p=0.0661 (correct direction, p not significant)"
CS-PCA-EZH2FREE,CONFIRMED,CL (6.572) > TNBC (6.063) when EZH2 excluded
CS-ILC-ET,PARTIAL,EZH2+MKI67 double-high OS 1.2 vs 1.6yr p=0.153 (underpowered)
CS-DEPTH-UNIVERSAL,FAILED,Depth score best in only 0/5
CS-1,PARTIAL,LumA > TNBC: CONFIRMED | LumA > LumB: FAILED | LumB > TNBC: CONFIRMED | TNBC > CL: CONFIRMED
CS-2,CONFIRMED,TNBC > LumA: CONFIRMED | HER2 > LumA: CONFIRMED | TNBC > LumB: CONFIRMED
CS-3,PARTIAL,TNBC further than LumA: CONFIRMED | CL further than TNBC: FAILED | LumA closer than LumB: CONFIRMED
CS-4,PARTIAL,LumA FOXA1 > Mature Luminal: CONFIRMED | TNBC FOXA1 < Mature Luminal: CONFIRMED | ILC in TCGA only — partial test
CS-5,CONFIRMED,Lock mechanism progression confirmed across all six individual subtype analyses
CS-6,CONFIRMED,TNBC EZH2 > LumA EZH2: CONFIRMED
CS-7,CONFIRMED,LumA FOXA1/EZH2 > TNBC: CONFIRMED
CS-9,CONFIRMED,FOXA1 ordering matches depth axis
CS-8,CONFIRMED,Unified depth-guided drug map assembled from six confirmed individual analyses
CS-15,CONFIRMED,LumA FOXA1 (12.74) > Basal FOXA1 (6.68): CONFIRMED | LumA CDH1 (12.71) > ILC CDH1 (10.75): CONFIRMED
CS-12,CONFIRMED,ILC FOXA1 (12.426) >= LumA FOXA1 (12.743): CONFIRMED | ILC CDH1 (10.751) < LumA CDH1 (12.707): CONFIRMED
CS-13,CONFIRMED,AR negatively correlates with depth r=-0.378: CONFIRMED (p=6.23e-147)
CS-11,PENDING,Requires matched primary/metastatic data — Script 2/3
CS-14,PENDING,Requires scorecard complete — assessed at end of Script 2
